port_code,port_name,state,year,month,mode,count
2507.0,Calexico East,California,2023,3,Personal Vehicle,429401.0
2301.0,Brownsville,Texas,2023,8,Pedestrian,233537.0
2502.0,Andrade,California,2023,9,Personal Vehicle,82177.0
2601.0,Douglas,Arizona,2023,4,Truck,2144.0
2601.0,Douglas,Arizona,2023,1,Truck,2183.0
2502.0,Andrade,California,2023,11,Personal Vehicle,91147.0
2502.0,Andrade,California,2023,10,Personal Vehicle,92254.0
2406.0,Columbus,New Mexico,2023,11,Truck,2137.0
2402.0,El Paso,Texas,2023,12,Pedestrian,547061.0
2408.0,Santa Teresa,New Mexico,2023,7,Truck,12655.0
2301.0,Brownsville,Texas,2023,1,Truck,28463.0
2307.0,Rio Grande City,Texas,2023,6,Pedestrian,4266.0
2403.0,Presidio,Texas,2023,1,Bus,120.0
2504.0,San Ysidro,California,2023,4,Pedestrian,614714.0
2507.0,Calexico East,California,2023,9,Train,190.0
2502.0,Andrade,California,2023,7,Pedestrian,28708.0
2507.0,Calexico East,California,2023,7,Pedestrian,36118.0
2301.0,Brownsville,Texas,2023,10,Personal Vehicle,754681.0
2506.0,Otay Mesa,California,2023,3,Pedestrian,219208.0
2408.0,Santa Teresa,New Mexico,2023,5,Personal Vehicle,116649.0
2302.0,Del Rio,Texas,2023,10,Personal Vehicle,260244.0
2408.0,Santa Teresa,New Mexico,2023,6,Personal Vehicle,130960.0
2608.0,San Luis,Arizona,2023,8,Bus,8.0
2303.0,Eagle Pass,Texas,2023,1,Pedestrian,81749.0
2608.0,San Luis,Arizona,2023,2,Bus,13.0
2603.0,Naco,Arizona,2023,7,Pedestrian,5492.0
2505.0,Tecate,California,2023,12,Truck,4799.0
2502.0,Andrade,California,2023,2,Pedestrian,78975.0
2506.0,Otay Mesa,California,2023,1,Truck,79160.0
2301.0,Brownsville,Texas,2023,9,Pedestrian,222119.0
2303.0,Eagle Pass,Texas,2023,7,Truck,17988.0
2505.0,Tecate,California,2023,9,Pedestrian,80243.0
2303.0,Eagle Pass,Texas,2023,10,Bus,9980.0
2601.0,Douglas,Arizona,2023,10,Personal Vehicle,209097.0
2403.0,Presidio,Texas,2023,3,Bus,144.0
2505.0,Tecate,California,2023,7,Pedestrian,73530.0
2404.0,Tornillo,Texas,2023,2,Personal Vehicle,57375.0
2401.0,Ysleta,Texas,2023,5,Truck,59109.0
2602.0,Lukeville,Arizona,2023,5,Truck,71.0
2504.0,San Ysidro,California,2023,12,Personal Vehicle,2124723.0
2303.0,Eagle Pass,Texas,2023,11,Pedestrian,76455.0
2504.0,San Ysidro,California,2023,8,Bus,34204.0
2507.0,Calexico East,California,2023,5,Pedestrian,50241.0
2602.0,Lukeville,Arizona,2023,9,Bus,287.0
2502.0,Andrade,California,2023,7,Personal Vehicle,86297.0
2303.0,Eagle Pass,Texas,2023,2,Bus,8360.0
2309.0,Progreso,Texas,2023,8,Personal Vehicle,242263.0
2307.0,Rio Grande City,Texas,2023,7,Pedestrian,2632.0
2408.0,Santa Teresa,New Mexico,2023,6,Pedestrian,11540.0
2606.0,Sasabe,Arizona,2023,12,Pedestrian,20.0
2305.0,Hidalgo,Texas,2023,7,Pedestrian,187074.0
2403.0,Presidio,Texas,2023,3,Pedestrian,13984.0
2506.0,Otay Mesa,California,2023,1,Train,10.0
2401.0,Ysleta,Texas,2023,9,Truck,37144.0
2406.0,Columbus,New Mexico,2023,5,Truck,1684.0
2504.0,San Ysidro,California,2023,11,Pedestrian,570191.0
2582.0,Cross Border Xpress,California,2023,8,Pedestrian,198151.0
2603.0,Naco,Arizona,2023,9,Truck,270.0
2408.0,Santa Teresa,New Mexico,2023,1,Personal Vehicle,110567.0
2401.0,Ysleta,Texas,2023,11,Pedestrian,129817.0
2608.0,San Luis,Arizona,2023,2,Truck,4915.0
2503.0,Calexico,California,2023,11,Personal Vehicle,686841.0
2310.0,Roma,Texas,2023,4,Pedestrian,19127.0
2505.0,Tecate,California,2023,7,Personal Vehicle,169189.0
2401.0,Ysleta,Texas,2023,9,Personal Vehicle,484967.0
2309.0,Progreso,Texas,2023,10,Truck,4957.0
2303.0,Eagle Pass,Texas,2023,8,Pedestrian,79373.0
2402.0,El Paso,Texas,2023,3,Truck,4050.0
2608.0,San Luis,Arizona,2023,12,Truck,3599.0
2608.0,San Luis,Arizona,2023,9,Truck,3265.0
2310.0,Roma,Texas,2023,9,Bus,561.0
2502.0,Andrade,California,2023,12,Pedestrian,62578.0
2404.0,Tornillo,Texas,2023,5,Personal Vehicle,76421.0
2408.0,Santa Teresa,New Mexico,2023,5,Pedestrian,9617.0
2310.0,Roma,Texas,2023,4,Personal Vehicle,124690.0
2601.0,Douglas,Arizona,2023,2,Pedestrian,53278.0
2302.0,Del Rio,Texas,2023,2,Pedestrian,16073.0
2504.0,San Ysidro,California,2023,4,Personal Vehicle,2201675.0
2601.0,Douglas,Arizona,2023,7,Pedestrian,54237.0
2601.0,Douglas,Arizona,2023,8,Bus,612.0
2604.0,Nogales,Arizona,2023,4,Pedestrian,254218.0
2304.0,Laredo,Texas,2023,1,Pedestrian,225422.0
2309.0,Progreso,Texas,2023,11,Personal Vehicle,264300.0
2304.0,Laredo,Texas,2023,6,Pedestrian,210073.0
2602.0,Lukeville,Arizona,2023,3,Bus,253.0
2309.0,Progreso,Texas,2023,5,Truck,3751.0
2506.0,Otay Mesa,California,2023,12,Pedestrian,262604.0
2310.0,Roma,Texas,2023,11,Personal Vehicle,130550.0
2507.0,Calexico East,California,2023,8,Truck,39022.0
2505.0,Tecate,California,2023,8,Pedestrian,76362.0
2502.0,Andrade,California,2023,6,Personal Vehicle,82126.0
2507.0,Calexico East,California,2023,5,Bus,459.0
2606.0,Sasabe,Arizona,2023,7,Pedestrian,50.0
2309.0,Progreso,Texas,2023,1,Personal Vehicle,248383.0
2403.0,Presidio,Texas,2023,7,Personal Vehicle,138634.0
2302.0,Del Rio,Texas,2023,12,Pedestrian,32529.0
2403.0,Presidio,Texas,2023,12,Truck,893.0
2406.0,Columbus,New Mexico,2023,6,Personal Vehicle,64777.0
2504.0,San Ysidro,California,2023,7,Personal Vehicle,2302112.0
2410.0,Boquillas,Texas,2023,6,Pedestrian,630.0
2601.0,Douglas,Arizona,2023,5,Pedestrian,65517.0
2406.0,Columbus,New Mexico,2023,6,Pedestrian,21434.0
2404.0,Tornillo,Texas,2023,3,Personal Vehicle,68727.0
2608.0,San Luis,Arizona,2023,11,Truck,3473.0
2303.0,Eagle Pass,Texas,2023,2,Truck,16071.0
2406.0,Columbus,New Mexico,2023,10,Personal Vehicle,65815.0
2309.0,Progreso,Texas,2023,3,Pedestrian,119974.0
2406.0,Columbus,New Mexico,2023,5,Personal Vehicle,66798.0
2505.0,Tecate,California,2023,11,Pedestrian,75474.0
2603.0,Naco,Arizona,2023,4,Pedestrian,7526.0
2408.0,Santa Teresa,New Mexico,2023,11,Bus,892.0
2506.0,Otay Mesa,California,2023,1,Personal Vehicle,752296.0
2506.0,Otay Mesa,California,2023,8,Personal Vehicle,833763.0
2301.0,Brownsville,Texas,2023,12,Truck,24024.0
2503.0,Calexico,California,2023,7,Pedestrian,199514.0
2603.0,Naco,Arizona,2023,7,Personal Vehicle,53222.0
2602.0,Lukeville,Arizona,2023,8,Personal Vehicle,61999.0
2401.0,Ysleta,Texas,2023,5,Personal Vehicle,496352.0
2305.0,Hidalgo,Texas,2023,9,Pedestrian,183439.0
2305.0,Hidalgo,Texas,2023,9,Truck,55673.0
2402.0,El Paso,Texas,2023,10,Truck,5859.0
2506.0,Otay Mesa,California,2023,2,Personal Vehicle,679450.0
2404.0,Tornillo,Texas,2023,10,Truck,3423.0
2504.0,San Ysidro,California,2023,4,Bus,24561.0
2503.0,Calexico,California,2023,3,Pedestrian,246439.0
2608.0,San Luis,Arizona,2023,5,Truck,3734.0
2305.0,Hidalgo,Texas,2023,6,Bus,17174.0
2402.0,El Paso,Texas,2023,8,Bus,22548.0
2507.0,Calexico East,California,2023,9,Pedestrian,44908.0
2506.0,Otay Mesa,California,2023,10,Personal Vehicle,785516.0
2301.0,Brownsville,Texas,2023,1,Pedestrian,170300.0
2406.0,Columbus,New Mexico,2023,9,Bus,706.0
2402.0,El Paso,Texas,2023,9,Bus,15452.0
2506.0,Otay Mesa,California,2023,2,Train,8.0
2601.0,Douglas,Arizona,2023,11,Bus,280.0
2505.0,Tecate,California,2023,6,Truck,6336.0
2309.0,Progreso,Texas,2023,6,Truck,3640.0
2506.0,Otay Mesa,California,2023,6,Truck,91790.0
2404.0,Tornillo,Texas,2023,11,Pedestrian,3295.0
2608.0,San Luis,Arizona,2023,2,Personal Vehicle,459848.0
2402.0,El Paso,Texas,2023,12,Personal Vehicle,1030218.0
2304.0,Laredo,Texas,2023,6,Bus,63430.0
2305.0,Hidalgo,Texas,2023,3,Truck,66062.0
2304.0,Laredo,Texas,2023,5,Truck,258137.0
2503.0,Calexico,California,2023,1,Pedestrian,237225.0
2309.0,Progreso,Texas,2023,5,Personal Vehicle,230858.0
2307.0,Rio Grande City,Texas,2023,9,Truck,3519.0
2604.0,Nogales,Arizona,2023,4,Personal Vehicle,602637.0
2601.0,Douglas,Arizona,2023,12,Truck,2061.0
2603.0,Naco,Arizona,2023,12,Personal Vehicle,59021.0
2408.0,Santa Teresa,New Mexico,2023,1,Bus,516.0
2403.0,Presidio,Texas,2023,10,Bus,177.0
2506.0,Otay Mesa,California,2023,8,Pedestrian,248128.0
2503.0,Calexico,California,2023,4,Personal Vehicle,707697.0
2602.0,Lukeville,Arizona,2023,12,Pedestrian,2062.0
2601.0,Douglas,Arizona,2023,8,Truck,2466.0
2303.0,Eagle Pass,Texas,2023,8,Bus,22893.0
2408.0,Santa Teresa,New Mexico,2023,6,Truck,14141.0
2401.0,Ysleta,Texas,2023,11,Personal Vehicle,525521.0
2406.0,Columbus,New Mexico,2023,1,Pedestrian,18354.0
2507.0,Calexico East,California,2023,11,Train,19.0
2582.0,Cross Border Xpress,California,2023,6,Pedestrian,189394.0
2301.0,Brownsville,Texas,2023,5,Truck,28168.0
2502.0,Andrade,California,2023,3,Pedestrian,82906.0
2404.0,Tornillo,Texas,2023,8,Pedestrian,3918.0
2507.0,Calexico East,California,2023,7,Bus,111.0
2602.0,Lukeville,Arizona,2023,12,Bus,37.0
2406.0,Columbus,New Mexico,2023,1,Personal Vehicle,62987.0
2507.0,Calexico East,California,2023,8,Personal Vehicle,433750.0
2305.0,Hidalgo,Texas,2023,4,Bus,20559.0
2604.0,Nogales,Arizona,2023,1,Personal Vehicle,634772.0
2503.0,Calexico,California,2023,9,Personal Vehicle,661638.0
2408.0,Santa Teresa,New Mexico,2023,8,Personal Vehicle,139484.0
2601.0,Douglas,Arizona,2023,6,Truck,2429.0
2601.0,Douglas,Arizona,2023,1,Bus,257.0
2604.0,Nogales,Arizona,2023,9,Truck,20963.0
2303.0,Eagle Pass,Texas,2023,10,Pedestrian,93774.0
2601.0,Douglas,Arizona,2023,6,Bus,361.0
2303.0,Eagle Pass,Texas,2023,11,Truck,18579.0
2608.0,San Luis,Arizona,2023,6,Truck,3728.0
2307.0,Rio Grande City,Texas,2023,6,Truck,3884.0
2403.0,Presidio,Texas,2023,8,Pedestrian,17549.0
2305.0,Hidalgo,Texas,2023,7,Bus,20193.0
2401.0,Ysleta,Texas,2023,8,Personal Vehicle,533473.0
2504.0,San Ysidro,California,2023,12,Pedestrian,541411.0
2401.0,Ysleta,Texas,2023,7,Truck,55090.0
2307.0,Rio Grande City,Texas,2023,6,Personal Vehicle,64330.0
2301.0,Brownsville,Texas,2023,1,Personal Vehicle,745700.0
2303.0,Eagle Pass,Texas,2023,12,Pedestrian,86409.0
2403.0,Presidio,Texas,2023,8,Bus,237.0
2601.0,Douglas,Arizona,2023,7,Bus,597.0
2604.0,Nogales,Arizona,2023,9,Pedestrian,247319.0
2402.0,El Paso,Texas,2023,2,Pedestrian,277874.0
2303.0,Eagle Pass,Texas,2023,7,Pedestrian,91644.0
2302.0,Del Rio,Texas,2023,3,Personal Vehicle,243123.0
2603.0,Naco,Arizona,2023,9,Personal Vehicle,49795.0
2403.0,Presidio,Texas,2023,5,Pedestrian,19623.0
