entity,continent,year,happiness,gdp_per_capita,population
Slovakia,Europe,2020,6.3309,30960.959,5455028
Slovenia,Europe,2020,6.4607,37155.023,2102419
South Africa,Africa,2020,4.9564,12866.569,60562374
South Korea,Asia,2020,5.8455,42396.76,51858480
Spain,Europe,2020,6.4907,36051.418,47679482
Sri Lanka,Asia,2020,4.325,12939.44,22561807
Sweden,Europe,2020,7.3627,51331.28,10353680
Switzerland,Europe,2020,7.5715,67928.195,8640582
Tajikistan,Asia,2020,5.4662,3651.9426,9749310
Tanzania,Africa,2020,3.6232,2552.5469,60972801
Thailand,Asia,2020,5.9847,16865.549,71641484
Togo,Africa,2020,4.1068,2058.565,8669722
Tunisia,Africa,2020,4.5965,10040.124,11974058
Turkey,Asia,2020,4.9476,28726.191,86091691
Turkmenistan,Asia,2020,5.0664,14269.641,6949915
Uganda,Africa,2020,4.6365,2240.4902,44457149
Ukraine,Europe,2020,4.8748,12407.79,44680009
United Arab Emirates,Asia,2020,6.5605,67668.29,9448529
United Kingdom,Europe,2020,7.0636,41895.824,67351860
United States,North America,2020,6.9515,60158.91,339436157
Uruguay,South America,2020,6.4314,22073.375,3398967
Uzbekistan,Asia,2020,6.1788,7407.7275,33586372
Vietnam,Asia,2020,5.4108,10450.621,98079196
World,Africa,2020,5.1670065,16213.376,7887001284
Zambia,Africa,2020,4.0734,3183.651,19059395
Zimbabwe,Africa,2020,3.1448,1990.3195,15526888
